product_name,ratings,Source
Men's Zeta Running Shoe,4.4/5,Amazon
Fastrack Denim Analog White Dial Men's Watch-NN3184SL01,4.1/5,Amazon
"HP Pavilion 14,11th Gen Intel Core i5 16GB RAM/512GB SSD 14 inch(35.6 cm),FHD IPS Anti-Glare Display/Intel Iris Xe Graphics/Backlit KB/B&O Audio/FPR/Win 11/Thin & Light/1.41kg, 14-dv1001TU",4.4/5,Amazon
Havells HD3151 1200 W Foldable Hair Dryer; 3 Heat (Hot/Cool/Warm) Settings including Cool Shot button; Heat Balance Technology (Turquoise),4.3/5,Amazon
boAt Rockerz 370 Bluetooth Wireless On Ear Headphone with Mic (Fiery Red),4.0/5,Amazon
PUMA Zeta Walking Shoes For Men  (Black),4.3/5,Flipkart
Fastrack NN3184SL01 Analog Watch - For Men,4.2/5,Flipkart
"HP Pavilion Ryzen 5 Hexa Core 5625U - (8 GB/512 GB SSD/Windows 11 Home) 14-EC1003AU Thin and Light Laptop  (14 Inch, Natural Silver, 1.41 Kg, With MS Office)",4.3/5,Flipkart
"HAVELLS HD3151 Hair Dryer  (1200 W, Turquoise Blue)",4.4/5,Flipkart
"boAt Rockerz 370 Bluetooth Headset  (Fiery Red, On the Ear)",4.2/5,Flipkart
Men's Zeta Running Shoe,4.5/5,Myntra
NN3184SL01,Not Found,Myntra
"HP Pavilion 14, Ryzen 5-5625U",Not Found,Myntra
HAVELLS HD3151 Hair Dryer,4.1/5,Myntra
"boat rockerz 370 bluetooth headset fiery red, on the ear",4.3/5,Myntra
